date,gate start
7/1/16,172
7/2/16,9.5
7/3/16,22
7/4/16,29
7/5/16,150
7/6/16,231.5
7/7/16,219
7/8/16,100
7/9/16,73
7/10/16,81.5
7/11/16,206.5
7/12/16,216
7/13/16,219.5
7/14/16,220
7/15/16,203.5
7/16/16,50
7/17/16,89
7/18/16,225
7/19/16,246.5
7/20/16,196
7/21/16,181.5
7/22/16,146.5
7/23/16,51
7/24/16,72
7/25/16,228
7/26/16,183.5
7/27/16,164.5
7/28/16,152.5
7/29/16,244
7/30/16,50
7/31/16,79.5
8/1/16,177
8/2/16,165.5
8/3/16,223
8/4/16,165.5
8/5/16,152
8/6/16,104.5
8/7/16,0
8/8/16,91.5
8/9/16,168.5
8/10/16,107
8/11/16,112
8/12/16,109
8/13/16,53.5
8/14/16,0
8/15/16,163
8/16/16,150.5
8/17/16,200.5
8/18/16,175
8/19/16,264
8/20/16,84.5
8/21/16,166
8/22/16,398.5
8/23/16,663.5
8/24/16,844
8/25/16,751
8/26/16,610.5
8/27/16,321.5
8/28/16,1061
8/29/16,1075
8/30/16,1946
8/31/16,359
9/1/16,359
9/2/16,571.5
9/3/16,288
9/4/16,1297.5
9/5/16,1067.5
9/6/16,1281.5
9/7/16,1107.5
9/8/16,874
9/9/16,591
9/10/16,530.5
9/11/16,1241.5
9/12/16,1182.5
9/13/16,1232
9/14/16,1239
9/15/16,896
9/16/16,543.5
9/17/16,566.5
9/18/16,1553
9/19/16,1525.5
9/20/16,1364.5
9/21/16,1589
9/22/16,1710.5
9/23/16,589
9/24/16,835.5
9/25/16,835
9/26/16,1614
9/27/16,1795
9/28/16,1733.5
9/29/16,1096.5
9/30/16,210.5
10/1/16,210.5
10/2/16,159
10/3/16,379
10/4/16,1070.5
10/5/16,1514.5
10/6/16,1153
10/7/16,656
10/8/16,500
10/9/16,1551
10/10/16,1545
10/11/16,1435
10/12/16,1553
10/13/16,929
10/14/16,593.5
10/15/16,515.5
10/16/16,1488
10/17/16,1585
10/18/16,1586.5
10/19/16,1275
10/20/16,914.5
10/21/16,450
10/22/16,500
10/23/16,1400
10/24/16,1500
10/25/16,1600
10/26/16,1500
10/27/16,900
10/28/16,500
10/29/16,390
10/30/16,1088
10/31/16,1351
11/1/16,1351
11/2/16,1249.5
11/3/16,1249
11/4/16,716
11/5/16,706
11/6/16,1544
11/7/16,1705
11/8/16,1395.5
11/9/16,1298.5
11/10/16,1199
11/11/16,543.5
11/12/16,429
11/13/16,1314.5
11/14/16,1506
11/15/16,1254.5
11/16/16,1318
11/17/16,866.5
11/18/16,476.5
11/19/16,479
11/20/16,924
11/21/16,918
11/22/16,372.5
11/23/16,83
11/24/16,0
11/25/16,33
11/26/16,223
11/27/16,382
11/28/16,1563.5
11/29/16,1609
11/30/16,1489
12/1/16,932.5
12/2/16,1000
12/3/16,1000
12/4/16,2200
12/5/16,2029.5
12/6/16,1433.5
12/7/16,2702
12/8/16,4573
12/9/16,725
12/10/16,725
12/11/16,2005.5
12/12/16,1762
12/13/16,1124.5
12/14/16,1106.5
12/15/16,659
12/16/16,659
12/17/16,47.5
12/18/16,0
12/19/16,126.5
12/20/16,118
12/21/16,116.5
12/22/16,65
12/23/16,0
12/24/16,0
12/25/16,0
12/26/16,0
12/27/16,55
12/28/16,50
12/29/16,54
12/30/16,0
12/31/16,0
1/1/17,0
1/2/17,98
1/3/17,110.5
1/4/17,97
1/5/17,105.5
1/6/17,126
1/7/17,42.5
1/8/17,45
1/9/17,145.5
1/10/17,145.5
1/11/17,105
1/12/17,155
1/13/17,154.5
1/14/17,30
1/15/17,0
1/16/17,165.5
1/17/17,295.5
1/18/17,469.5
1/19/17,804
1/20/17,263.5
1/21/17,209.5
1/22/17,512
1/23/17,512
1/24/17,512.5
1/25/17,727
1/26/17,700
1/27/17,437.5
1/28/17,371
1/29/17,815.5
1/30/17,815.5
1/31/17,209
2/1/17,402.5
2/2/17,402.5
2/3/17,363
2/4/17,422
2/5/17,704.5
2/6/17,400
2/7/17,1014
2/8/17,1013.5
2/9/17,795.5
2/10/17,525.5
2/11/17,403.5
2/12/17,1326
2/13/17,1436
2/14/17,1202
2/15/17,1286.5
2/16/17,989.5
2/17/17,576
2/18/17,593
2/19/17,1546.5
2/20/17,1628.5
2/21/17,1544.5
2/22/17,1691
2/23/17,1036.5
2/24/17,510
2/25/17,550
2/26/17,1828
2/27/17,1758.5
2/28/17,1714
3/1/17,1750
3/2/17,737.5
3/3/17,257
3/4/17,50.5
3/5/17,25.5
3/6/17,101
3/7/17,111
3/8/17,132
3/9/17,162.5
3/10/17,69.5
3/11/17,381
3/12/17,380.5
3/13/17,1031
3/14/17,1252.5
3/15/17,1571.5
3/16/17,841
3/17/17,527.5
3/18/17,422.5
3/19/17,1447
3/20/17,1386.5
3/21/17,1331
3/22/17,1331
3/23/17,926.5
3/24/17,924
3/25/17,644
3/26/17,644
3/27/17,1577.5
3/28/17,1399.5
3/29/17,1415
3/30/17,966
3/31/17,628
4/1/17,327
4/2/17,1545.5
4/3/17,1867
4/4/17,1541
4/5/17,1541
4/6/17,952.5
4/7/17,490
4/8/17,421
4/9/17,1177
4/10/17,1518.5
4/11/17,1314
4/12/17,1314
4/13/17,878
4/14/17,508
4/15/17,359
4/16/17,978.5
4/17/17,1553
4/18/17,1306
4/19/17,1569.5
4/20/17,918.5
4/21/17,547
4/22/17,351.5
4/23/17,546
4/24/17,1766.5
4/25/17,1295
4/26/17,1804.5
4/27/17,1805
4/28/17,309
4/29/17,309
4/30/17,2249
5/1/17,2301
5/2/17,1726
5/3/17,2688
5/4/17,2197.5
5/5/17,1567.5
5/6/17,1567.5
5/7/17,1936.5
5/8/17,1936.5
5/9/17,1310
5/10/17,1527.5
5/11/17,1174
5/12/17,263.5
5/13/17,50
5/14/17,55
5/15/17,246.5
5/16/17,246.5
5/17/17,161.5
5/18/17,185
5/19/17,113
5/20/17,100.5
5/21/17,53.5
5/22/17,100
5/23/17,72.5
5/24/17,0
5/25/17,22
5/26/17,122.5
5/27/17,41.5
5/28/17,85
5/29/17,138
5/30/17,94.5
5/31/17,94.5
6/1/17,
6/2/17,
6/3/17,
6/4/17,
6/5/17,
6/6/17,
6/7/17,
6/8/17,
6/9/17,
6/10/17,
6/11/17,
6/12/17,
6/13/17,
6/14/17,
6/15/17,
6/16/17,
6/17/17,
6/18/17,
6/19/17,
6/20/17,
6/21/17,
6/22/17,
6/23/17,
6/24/17,
6/25/17,
6/26/17,
6/27/17,
6/28/17,
6/29/17,
6/30/17,
