date,gate start
1/1/17,
1/2/17,
1/3/17,19
1/4/17,38
1/5/17,14
1/6/17,26
1/7/17,
1/8/17,
1/9/17,66
1/10/17,23
1/11/17,35
1/12/17,29
1/13/17,36
1/14/17,
1/15/17,
1/16/17,7
1/17/17,33
1/18/17,25
1/19/17,16
1/20/17,22
1/21/17,
1/22/17,
1/23/17,31
1/24/17,55
1/25/17,36
1/26/17,44
1/27/17,30
1/28/17,
1/29/17,
1/30/17,22
1/31/17,64
2/1/17,41
2/2/17,64
2/3/17,22
2/4/17,0
2/5/17,0
2/6/17,41
2/7/17,34
2/8/17,73
2/9/17,17
2/10/17,34
2/11/17,0
2/12/17,0
2/13/17,31
2/14/17,39
2/15/17,30
2/16/17,17
2/17/17,32
2/18/17,0
2/19/17,0
2/20/17,57
2/21/17,33.5
2/22/17,41
2/23/17,23
2/24/17,41
2/25/17,0
2/26/17,0
2/27/17,38
2/28/17,27
3/1/17,45
3/2/17,25
3/3/17,39
3/4/17,0
3/5/17,0
3/6/17,12
3/7/17,27
3/8/17,12
3/9/17,36
3/10/17,0
3/11/17,0
3/12/17,0
3/13/17,17
3/14/17,23
3/15/17,21
3/16/17,28
3/17/17,19
3/18/17,0
3/19/17,0
3/20/17,51
3/21/17,7
3/22/17,27
3/23/17,44
3/24/17,38
3/25/17,0
3/26/17,0
3/27/17,36
3/28/17,51
3/29/17,33
3/30/17,18
3/31/17,38
4/1/17,0
4/2/17,0
4/3/17,20
4/4/17,38
4/5/17,26
4/6/17,49
4/7/17,33
4/8/17,0
4/9/17,0
4/10/17,42
4/11/17,37
4/12/17,26
4/13/17,40
4/14/17,53
4/15/17,0
4/16/17,0
4/17/17,52
4/18/17,45
4/19/17,29
4/20/17,20
4/21/17,65
4/22/17,0
4/23/17,0
4/24/17,42
4/25/17,39
4/26/17,21
4/27/17,20
4/28/17,26
4/29/17,0
4/30/17,0
5/1/17,35
5/2/17,86
5/3/17,14
5/4/17,25
5/5/17,25
5/6/17,
5/7/17,
5/8/17,77
5/9/17,19
5/10/17,32
5/11/17,25
5/12/17,35
5/13/17,
5/14/17,
5/15/17,10
5/16/17,20
5/17/17,29
5/18/17,10
5/19/17,0
5/20/17,
5/21/17,
5/22/17,24
5/23/17,46
5/24/17,110
5/25/17,23
5/26/17,14
5/27/17,
5/28/17,
5/29/17,0
5/30/17,45
5/31/17,12
12/1/16,34
12/2/16,58
12/3/16,0
12/4/16,0
12/5/16,45
12/6/16,38
12/7/16,50
12/8/16,19
12/9/16,46
12/10/16,0
12/11/16,0
12/12/16,54
12/13/16,47
12/14/16,10
12/15/16,37
12/16/16,32
12/17/16,0
12/18/16,0
12/19/16,35
12/20/16,38
12/21/16,14
12/22/16,0
12/23/16,0
12/24/16,0
12/25/16,0
12/26/16,0
12/27/16,0
12/28/16,0
12/29/16,0
12/30/16,0
12/31/16,0
11/1/16,32
11/2/16,33
11/3/16,29
11/4/16,28
11/5/16,
11/6/16,
11/7/16,40
11/8/16,36
11/9/16,33
11/10/16,40
11/11/16,11
11/12/16,
11/13/16,
11/14/16,38
11/15/16,35
11/16/16,30
11/17/16,30
11/18/16,59
11/19/16,
11/20/16,
11/21/16,41
11/22/16,35
11/23/16,0
11/24/16,0
11/25/16,0
11/26/16,
11/27/16,
11/28/16,30
11/29/16,13
11/30/16,19
10/1/16,
10/2/16,
10/3/16,19
10/4/16,11
10/5/16,16
10/6/16,33
10/7/16,51
10/8/16,
10/9/16,
10/10/16,21
10/11/16,57
10/12/16,23
10/13/16,30
10/14/16,44
10/15/16,
10/16/16,
10/17/16,24
10/18/16,27
10/19/16,19
10/20/16,25
10/21/16,46
10/22/16,
10/23/16,
10/24/16,23
10/25/16,22
10/26/16,34
10/27/16,18
10/28/16,13
10/29/16,
10/30/16,
10/31/16,35
9/1/16,29
9/2/16,23
9/3/16,0
9/4/16,0
9/5/16,13
9/6/16,24
9/7/16,25
9/8/16,23
9/9/16,50
9/10/16,0
9/11/16,0
9/12/16,26
9/13/16,30
9/14/16,17
9/15/16,26
9/16/16,54
9/17/16,0
9/18/16,0
9/19/16,41
9/20/16,23
9/21/16,10
9/22/16,25
9/23/16,38
9/24/16,0
9/25/16,0
9/26/16,16
9/27/16,27
9/28/16,26
9/29/16,26
9/30/16,19
8/1/16,26
8/2/16,22
8/3/16,18
8/4/16,22
8/5/16,32
8/6/16,
8/7/16,
8/8/16,28
8/9/16,29
8/10/16,67
8/11/16,20
8/12/16,37
8/13/16,
8/14/16,
8/15/16,23
8/16/16,9
8/17/16,18
8/18/16,32
8/19/16,43
8/20/16,
8/21/16,
8/22/16,17
8/23/16,91
8/24/16,48
8/25/16,63
8/26/16,24
8/27/16,
8/28/16,
8/29/16,57
8/30/16,32
8/31/16,42
7/1/16,27
7/2/16,
7/3/16,
7/4/16,0
7/5/16,13
7/6/16,16
7/7/16,28
7/8/16,34
7/9/16,
7/10/16,
7/11/16,34
7/12/16,16
7/13/16,34
7/14/16,37
7/15/16,37
7/16/16,
7/17/16,
7/18/16,26
7/19/16,20
7/20/16,17
7/21/16,13
7/22/16,6
7/23/16,
7/24/16,
7/25/16,19
7/26/16,10
7/27/16,9
7/28/16,26
7/29/16,19
7/30/16,0
7/31/16,0
